"","SegRNN_96_96_ATPE","ModernTCN_96_96_ATPE","iTransformer_96_96_ATPE","MTST_96_96_ATPE","DLinear_96_96_ATPE","NLinear_96_96_ATPE","MTSMixer_96_96_ATPE"
"SegRNN_96_96_ATPE",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_ATPE",1.07223235242869e-08,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_ATPE",1.07223235242869e-08,1.07223235242869e-08,NA,NA,NA,NA,NA
"MTST_96_96_ATPE",2.32063767661801e-07,1.16031883830901e-07,7.73545892206004e-08,NA,NA,NA,NA
"DLinear_96_96_ATPE",1.07223235242869e-08,5.80159419154503e-08,4.64127535323602e-08,3.86772946103002e-08,NA,NA,NA
"NLinear_96_96_ATPE",3.31519668088287e-08,2.90079709577251e-08,2.57848630735335e-08,2.32063767661801e-08,2.10967061510728e-08,NA,NA
"MTSMixer_96_96_ATPE",1.93386473051501e-08,1.78510590509078e-08,1.65759834044144e-08,1.54709178441201e-08,1.07223235242869e-08,1.45039854788626e-08,NA
