"","SegRNN_96_96_mse","ModernTCN_96_96_mse","iTransformer_96_96_mse","MTST_96_96_mse","DLinear_96_96_mse","NLinear_96_96_mse","MTSMixer_96_96_mse"
"SegRNN_96_96_mse",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_mse",0.00035359757021042,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_mse",0.041621915996074,0.0437325090169905,NA,NA,NA,NA,NA
"MTST_96_96_mse",0.0036509055644271,0.00837377947755139,-0.0299876406788827,NA,NA,NA,NA
"DLinear_96_96_mse",0.022086501121521,0.041762359440327,0.00387096405029304,0.0200787261128425,NA,NA,NA
"NLinear_96_96_mse",0.0368293969948655,0.0537743193258635,0.013152226828137,0.0341869145914695,0.017342619986264,NA,NA
"MTSMixer_96_96_mse",-0.000489264726639502,0.006021574139595,-0.031676188111305,-0.00450738798826921,-0.021025873720646,-0.037356101220532,NA
