"","SegRNN_96_96_AIT","ModernTCN_96_96_AIT","iTransformer_96_96_AIT","MTST_96_96_AIT","DLinear_96_96_AIT","NLinear_96_96_AIT","MTSMixer_96_96_AIT"
"SegRNN_96_96_AIT",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_AIT",1.07223235242869e-08,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_AIT",1.07223235242869e-08,1.07223235242869e-08,NA,NA,NA,NA,NA
"MTST_96_96_AIT",1.10506556029429e-08,1.07223235242869e-08,1.07223235242869e-08,NA,NA,NA,NA
"DLinear_96_96_AIT",1.07223235242869e-08,1.07223235242869e-08,1.07223235242869e-08,1.36508098624589e-08,NA,NA,NA
"NLinear_96_96_AIT",1.28924315367667e-08,1.07223235242869e-08,1.22138825085158e-08,1.16031883830901e-08,1.07223235242869e-08,NA,NA
"MTSMixer_96_96_AIT",1.07223235242869e-08,1.07223235242869e-08,1.10506556029429e-08,1.07223235242869e-08,1.07223235242869e-08,1.07223235242869e-08,NA
