"","SegRNN_96_96_mse","ModernTCN_96_96_mse","iTransformer_96_96_mse","MTST_96_96_mse","DLinear_96_96_mse","NLinear_96_96_mse","MTSMixer_96_96_mse"
"SegRNN_96_96_mse",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_mse",0.275351878476485,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_mse",0.00144463176237217,3.43009058766818e-06,NA,NA,NA,NA,NA
"MTST_96_96_mse",0.320082820464327,0.00840517847697293,0.00164972537312796,NA,NA,NA,NA
"DLinear_96_96_mse",5.97173184678198e-06,6.01468343739179e-07,0.938443575910529,2.46746298874691e-06,NA,NA,NA
"NLinear_96_96_mse",4.22970612218234e-07,1.81873379105532e-05,0.271125752510963,0.000194414726441197,0.00135114801221843,NA,NA
"MTSMixer_96_96_mse",0.406435909854325,0.139688601725648,0.000104191367351333,0.173478205373724,7.56292418171002e-05,0.000263325268073385,NA
