"","SegRNN_96_96_AIT","ModernTCN_96_96_AIT","iTransformer_96_96_AIT","MTST_96_96_AIT","DLinear_96_96_AIT","NLinear_96_96_AIT","MTSMixer_96_96_AIT"
"SegRNN_96_96_AIT",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_AIT",0.110927263112118,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_AIT",0.000102185902030318,0.00691416977231609,NA,NA,NA,NA,NA
"MTST_96_96_AIT",2.26770738842825e-09,2.35545624347561e-09,2.10955376204848e-08,NA,NA,NA,NA
"DLinear_96_96_AIT",4.35376952646021e-08,1.60063550955216e-08,2.059298435544e-08,2.26770738842825e-09,NA,NA,NA
"NLinear_96_96_AIT",2.26770738842825e-09,2.35545624347561e-09,2.26770738842825e-09,2.26770738842825e-09,2.26649092329606e-07,NA,NA
"MTSMixer_96_96_AIT",3.79866232301561e-08,3.20673138911761e-09,2.26770738842825e-09,2.26770738842825e-09,0.0530814656357994,1.5770594396547e-05,NA
