"","SegRNN_96_96_AIT","ModernTCN_96_96_AIT","iTransformer_96_96_AIT","MTST_96_96_AIT","DLinear_96_96_AIT","NLinear_96_96_AIT","MTSMixer_96_96_AIT"
"SegRNN_96_96_AIT",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_AIT",0.0968412614470875,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_AIT",6.97459331318045e-05,0.00559718505377969,NA,NA,NA,NA,NA
"MTST_96_96_AIT",8.27893173553169e-10,9.34704858522067e-10,1.03803439084925e-08,NA,NA,NA,NA
"DLinear_96_96_AIT",2.28054594243154e-08,7.36800472650994e-09,9.8061830264e-09,7.79049220721842e-10,NA,NA,NA
"NLinear_96_96_AIT",7.79049220721842e-10,9.34704858522067e-10,7.79049220721842e-10,7.79049220721842e-10,1.22318557765184e-07,NA,NA
"MTSMixer_96_96_AIT",1.92947927518253e-08,1.42521395071894e-09,7.79049220721842e-10,8.27893173553169e-10,0.0446558361697995,1.02634027025147e-05,NA
