"","SegRNN_96_96_ATPE","ModernTCN_96_96_ATPE","iTransformer_96_96_ATPE","MTST_96_96_ATPE","DLinear_96_96_ATPE","NLinear_96_96_ATPE","MTSMixer_96_96_ATPE"
"SegRNN_96_96_ATPE",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_ATPE",0.773095036109724,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_ATPE",2.62466841033011,0.870519446254951,NA,NA,NA,NA,NA
"MTST_96_96_ATPE",10.0604317299401,9.92029436686646,7.36280928420762,NA,NA,NA,NA
"DLinear_96_96_ATPE",0.09532607113295,-0.575035333631905,-2.24521201669502,-10.2521940270729,NA,NA,NA
"NLinear_96_96_ATPE",-1.5156836489467,-2.30638942881857,-4.14680464354563,-11.5761153788868,-1.01489875157073,NA,NA
"MTSMixer_96_96_ATPE",-1.20523006205376,-2.05125467150242,-3.91032286444898,-11.3182161776978,-0.79066806304429,0.240938551147514,NA
