"","SegRNN_96_96_ATPE","ModernTCN_96_96_ATPE","iTransformer_96_96_ATPE","MTST_96_96_ATPE","DLinear_96_96_ATPE","NLinear_96_96_ATPE","MTSMixer_96_96_ATPE"
"SegRNN_96_96_ATPE",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_ATPE",2.94923929893147e-09,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_ATPE",2.40620431435592e-09,0.108525018654005,NA,NA,NA,NA,NA
"MTST_96_96_ATPE",2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,NA,NA,NA,NA
"DLinear_96_96_ATPE",0.829961578736364,2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,NA,NA,NA
"NLinear_96_96_ATPE",2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,NA,NA
"MTSMixer_96_96_ATPE",2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,2.26770738842825e-09,1.23502647637536e-05,2.26770738842825e-09,NA
