"","SegRNN_96_96_ATPE","ModernTCN_96_96_ATPE","iTransformer_96_96_ATPE","MTST_96_96_ATPE","DLinear_96_96_ATPE","NLinear_96_96_ATPE","MTSMixer_96_96_ATPE"
"SegRNN_96_96_ATPE",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_ATPE",1.26395969954206e-09,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_ATPE",9.93036701162759e-10,0.0930214445605754,NA,NA,NA,NA,NA
"MTST_96_96_ATPE",7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,NA,NA,NA,NA
"DLinear_96_96_ATPE",0.816787585423088,7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,NA,NA,NA
"NLinear_96_96_ATPE",7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,NA,NA
"MTSMixer_96_96_ATPE",7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,7.79049220721842e-10,7.84143794524039e-06,7.79049220721842e-10,NA
