"","SegRNN_96_96_mse","ModernTCN_96_96_mse","iTransformer_96_96_mse","MTST_96_96_mse","DLinear_96_96_mse","NLinear_96_96_mse","MTSMixer_96_96_mse"
"SegRNN_96_96_mse",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_mse",0.294019802440992,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_mse",0.0018573836944785,5.68672913218672e-06,NA,NA,NA,NA,NA
"MTST_96_96_mse",0.336086961487543,0.010183197000948,0.00207865397014123,NA,NA,NA,NA
"DLinear_96_96_mse",9.64664375249397e-06,1.05256960154356e-06,0.938443575910529,4.20135589975825e-06,NA,NA,NA
"NLinear_96_96_mse",7.61347101992821e-07,2.72810068658298e-05,0.294019802440992,0.000266263647082509,0.00177338176603669,NA,NA
"MTSMixer_96_96_mse",0.419761677390532,0.157149676941354,0.000145867914291866,0.191739069097274,0.000108287323510848,0.000352967912523899,NA
