"","SegRNN_96_96_AIT","ModernTCN_96_96_AIT","iTransformer_96_96_AIT","MTST_96_96_AIT","DLinear_96_96_AIT","NLinear_96_96_AIT","MTSMixer_96_96_AIT"
"SegRNN_96_96_AIT",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_AIT",0.00972706205572452,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_AIT",0.038398633135657,0.021280774264637,NA,NA,NA,NA,NA
"MTST_96_96_AIT",0.130583283759644,0.118823969056896,0.0918728437548405,NA,NA,NA,NA
"DLinear_96_96_AIT",-0.0358503586051585,-0.034780903556103,-0.0676181274273695,-0.158598782336501,NA,NA,NA
"NLinear_96_96_AIT",-0.0639543095295055,-0.0806964695131125,-0.102231114919769,-0.193324795454179,-0.026874481390989,NA,NA
"MTSMixer_96_96_AIT",-0.055357131661391,-0.0644543346845695,-0.0820422093138405,-0.176277016526017,-0.01678420888588,0.0125474475165145,NA
