"n","FDR_twocompnormal","FDR_gamma","FDR_normal"
50,0.0659340659340659,0.0764192139737991,0.0595903165735568
100,0.049618320610687,0.036734693877551,0.0394431554524362
200,0.0412272291466922,0.0294715447154472,0.0295566502463054
500,0.0412272291466922,0.0328820116054159,0.0300678952473327
1000,0.0403071017274472,0.0262901655306719,0.0224828934506354
