"n","FDR_twocompnormal","FDR_gamma","FDR_normal"
50,0.0752256770310933,0.172607879924953,0.0874751491053678
100,0.0497607655502392,0.10790273556231,0.0669240669240669
200,0.0448901623686724,0.0581270182992465,0.024514811031665
500,0.0384615384615385,0.0540284360189573,0.0329138431752178
1000,0.0467111534795043,0.0366088631984586,0.031945788964182
