"","SegRNN_96_96_AIT","ModernTCN_96_96_AIT","iTransformer_96_96_AIT","MTST_96_96_AIT","DLinear_96_96_AIT","NLinear_96_96_AIT","MTSMixer_96_96_AIT"
"SegRNN_96_96_AIT",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_AIT",0.864135864135864,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_AIT",0.939060939060939,0.896103896103896,NA,NA,NA,NA,NA
"MTST_96_96_AIT",0.999000999000999,0.999000999000999,0.999000999000999,NA,NA,NA,NA
"DLinear_96_96_AIT",0.000999000999000999,0.047952047952048,0.000999000999000999,0.000999000999000999,NA,NA,NA
"NLinear_96_96_AIT",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,NA,NA
"MTSMixer_96_96_AIT",0.000999000999000999,0.015984015984016,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.993006993006993,NA
