"","SegRNN_96_96_ATPE","ModernTCN_96_96_ATPE","iTransformer_96_96_ATPE","MTST_96_96_ATPE","DLinear_96_96_ATPE","NLinear_96_96_ATPE","MTSMixer_96_96_ATPE"
"SegRNN_96_96_ATPE",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_ATPE",0.832167832167832,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_ATPE",0.999000999000999,0.901098901098901,NA,NA,NA,NA,NA
"MTST_96_96_ATPE",0.999000999000999,0.999000999000999,0.999000999000999,NA,NA,NA,NA
"DLinear_96_96_ATPE",0.35964035964036,0.000999000999000999,0.000999000999000999,0.000999000999000999,NA,NA,NA
"NLinear_96_96_ATPE",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,NA,NA
"MTSMixer_96_96_ATPE",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.993006993006993,NA
