"","SegRNN_96_96_ATPE","ModernTCN_96_96_ATPE","iTransformer_96_96_ATPE","MTST_96_96_ATPE","DLinear_96_96_ATPE","NLinear_96_96_ATPE","MTSMixer_96_96_ATPE"
"SegRNN_96_96_ATPE",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_ATPE",0,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_ATPE",0,0,NA,NA,NA,NA,NA
"MTST_96_96_ATPE",0,0,0,NA,NA,NA,NA
"DLinear_96_96_ATPE",0,0,0,0,NA,NA,NA
"NLinear_96_96_ATPE",0,0,0,0,0,NA,NA
"MTSMixer_96_96_ATPE",0,0,0,0,0,0,NA
