"","SegRNN_96_96_mse","ModernTCN_96_96_mse","iTransformer_96_96_mse","MTST_96_96_mse","DLinear_96_96_mse","NLinear_96_96_mse","MTSMixer_96_96_mse"
"SegRNN_96_96_mse",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_mse",0.423576423576424,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_mse",0.999000999000999,0.999000999000999,NA,NA,NA,NA,NA
"MTST_96_96_mse",0.693306693306693,0.998001998001998,0.000999000999000999,NA,NA,NA,NA
"DLinear_96_96_mse",0.963036963036963,0.958041958041958,0.000999000999000999,0.856143856143856,NA,NA,NA
"NLinear_96_96_mse",0.995004995004995,0.85014985014985,0.478521478521479,0.701298701298701,0.553446553446553,NA,NA
"MTSMixer_96_96_mse",0.621378621378621,0.998001998001998,0.000999000999000999,0.125874125874126,0.135864135864136,0.270729270729271,NA
