"","SegRNN_96_96_mse","ModernTCN_96_96_mse","iTransformer_96_96_mse","MTST_96_96_mse","DLinear_96_96_mse","NLinear_96_96_mse","MTSMixer_96_96_mse"
"SegRNN_96_96_mse",NA,NA,NA,NA,NA,NA,NA
"ModernTCN_96_96_mse",-0.2,NA,NA,NA,NA,NA,NA
"iTransformer_96_96_mse",2.08,2.28,NA,NA,NA,NA,NA
"MTST_96_96_mse",0.5,0.7,-1.58,NA,NA,NA,NA
"DLinear_96_96_mse",2.16,2.36,0.0800000000000001,1.66,NA,NA,NA
"NLinear_96_96_mse",2.24,2.44,0.16,1.74,0.0800000000000001,NA,NA
"MTSMixer_96_96_mse",0.22,0.42,-1.86,-0.28,-1.94,-2.02,NA
